29/07/2014	Normal day, In office
30/07/2014	Short day, In office
31/07/2014	Travel day — catch as catch can on slack, email, phone, depending on WiFi
01/08/2014	Work Remote
02/08/2014	Weekend
03/08/2014	Weekend
04/08/2014	Work Remote
05/08/2014	Work Remote
06/08/2014	Work Remote
07/08/2014	Personal time off
08/08/2014	Personal time off
09/08/2014	Weekend
10/08/2014	Weekend
11/08/2014	Work Remote
12/08/2014	Travel day — catch as catch can on slack, email, phone, depending on WiFi
13/08/2014	Normal day, In office
14/08/2014	Normal day, In office
15/08/2014	Normal day, In office
16/08/2014	Weekend
17/08/2014	Weekend
18/08/2014	Travel day — (Flo and Matt head to Arlignton, VA | Meet w/ InQtel + CIA)
19/08/2014	Arlington, VA, travel
20/08/2014	Arlington, VA / travel to MesosCon, Chicago
21/08/2014	MesosCon, travel
22/08/2014	MesosCon, travel home
